# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	459
#@/user_id	1b1956fa-e7eb-4c46-9160-185902ff9fc6
a 	啊	c=1 d=1 t=393
jie fang jun 	解放軍	c=0 d=0.1 t=83
jin shi 	緊實	c=1 d=1 t=234
jin tian 	今天	c=1 d=1 t=217
jing guo 	經過	c=1 d=1 t=57
jing yin 	靜音	c=1 d=1 t=170
jiu shi 	就是	c=1 d=1 t=130
ju 	劇	c=1 d=1 t=227
jue de 	覺得	c=0 d=0.1 t=307
kai fang yuan dai ma 	開放源代碼	c=1 d=1 t=81
kai shi 	開始	c=1 d=1 t=194
kai yuan 	開源	c=1 d=1 t=457
kan kan 	看看	c=0 d=0.1 t=291
kao shi ti 	考試題	c=1 d=1 t=187
kao yan 	考研	c=1 d=1 t=173
ke luo 	克羅	c=0 d=0.1 t=196
ke luo xin 	克羅心	c=1 d=1 t=197
ke pa 	可怕	c=0 d=0.1 t=394
ke xi 	可惜	c=1 d=1 t=401
ke yi ma 	可以嗎	c=1 d=1 t=78
keng 	坑	c=0 d=0.1 t=333
kong bu 	恐怖	c=0 d=0.1 t=143
kong bu de 	恐怖的	c=1 d=1 t=144
kong qi 	空氣	c=1 d=1 t=165
kong zhi 	控制	c=2 d=1.2019 t=459
kua ping tai 	跨平臺	c=1 d=1 t=456
kuai 	快	c=1 d=0.995012 t=459
kuan rong 	寬容	c=4 d=3.74186 t=280
la bi xiao xin 	蠟筆小新	c=1 d=1 t=154
la hei 	拉黑	c=1 d=1 t=285
lai kan 	來看	c=1 d=1 t=360
lai shuo 	來說	c=1 d=1 t=423
lang fei shi jian 	浪費時間	c=1 d=1 t=241
lao ban 	老闆	c=1 d=1 t=383
le 	了	c=11 d=6.21381 t=450
li jie 	理解	c=0 d=0.1 t=296
liang zhou 	兩週	c=0 d=0.1 t=199
liang zhou qian 	兩週前	c=1 d=1 t=200
lie chu 	列出	c=2 d=1.97531 t=92
lu you qi 	路由器	c=2 d=1.99005 t=435
ma ji 	麻吉	c=1 d=1 t=176
ma shang 	馬上	c=1 d=1 t=193
mai 	買	c=1 d=1 t=222
mei 	每	c=1 d=1 t=209
mei nian 	每年	c=1 d=1 t=205
mei xiang dao 	沒想到	c=0 d=0.1 t=329
